consecutivo;genero;fecha_nac;Fecha_depurada;carrera;Carrera_depurada;PAPA;estrato;computador_mesa;portatil;internet;smartphone;origen_covid_19;estad_gov;habito_1;habito_2;habito_3;habito_4;habito_5;habito_6;habito_7;habito_8;habito_9;habito_10;habito_11;habito_12;habito_13;habito_14;habito_15;habito_16;habito_17;aleatorio
1;Masculino;19/01/2000;19/01/2000;ingeniería de control;Ingenieria de control;3.5;3;No;Si, propio.;Si. familiar,;Si, propio.;Fue fabricado en un laboratorio.;Si;Tomas notas transcribiendo los ejercicios en clase.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesión de estudio.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;7
2;Masculino;5/09/1999;5/09/1999;Ingeniería de sistemas e infor;Ingenieria de sistemas;3.8;3;Si, propio.;Si, propio.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesión de estudio.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;3
3;Masculino;12/10/2001;12/10/2001;Ingeniería de sistemas;Ingenieria de sistemas;3.5;2;Si, propio.;No;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Estudia solo.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3
4;Femenino;21/01/2000;21/01/2000;Ingeniería de Sistemas;Ingenieria de sistemas;3.3;3;No;Si, pero prestado.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Escucha su música favorita mientras estudia.;Estudia varios temas distintos en una misma sesión de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;7
5;Masculino;22/11/2002;22/11/2002;Estadística;Estadistica;3.85;3;No;Si, propio.;Si, propio.;Si, propio.;Fue fabricado en un laboratorio.;No;Escucha su música favorita mientras estudia.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
6;Masculino;14/06/2000;14/06/2000;Ingeniería de sistemas e inf;Ingenieria de sistemas;3.6;2;No;Si, propio.;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Estudia varios temas distintos en una misma sesión de estudio.;Estudia solo.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;4
7;Masculino;24/09/1999;24/09/1999;Ingeniería en Sistemas;Ingenieria de sistemas;3.8;3;No;Si, propio.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Estudia varios temas distintos en una misma sesión de estudio.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;9
8;Femenino;7/09/2000;7/09/2000;Ingeniería Industrial;Ingenieria industrial;NA;3;Si, propio.;Si, pero prestado.;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesión de estudio.;Estudia con amigos.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
9;Masculino;13/10/2000;13/10/2000;Ing. Sistemas;Ingenieria de sistemas;3.5;3;No;Si, pero prestado.;Si. familiar,;Si, propio.;No es real, es un pretexto de los gobiernos del mundo.;No;Tomas notas transcribiendo los ejercicios en clase.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;4
10;Masculino;31/12/2000;31/12/2000;Ingeniería de sistemas;Ingenieria de sistemas;3.8;2;Si, propio.;No;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Estudia con amigos.;Estudia todo el tema el día anterior del examen.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
11;Masculino;8/01/2001;8/01/2001;ING. Sistemas;Ingenieria de sistemas;3.8;3;Si, propio.;No;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
12;Masculino;8/10/1996;8/10/1996;Ingeniería de sistemas;Ingenieria de sistemas;3.9;3;No;Si, propio.;Si. familiar,;Si, propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";No;Lee varias veces un mismo capítulo del libro texto.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
13;Masculino;20/01/1996;20/01/1996;Estadística;Estadistica;3.6;3;Si, propio.;Si, propio.;Si, propio.;Si, propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
14;Femenino;25/12/1994;25/12/1994;Estadistica;Estadistica;NA;2;No;Si, pero prestado.;Si, alquilado.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia con amigos.;Estudia solo.;Los ejercicios los hace junto con los amigos de estudio.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
15;Femenino;5/11/1995;5/11/1995;Ingeniería Administrativa;Ingenieria administrativa;3.5;3;No;Si, propio.;Si, propio.;Si, propio.;Fue fabricado en un laboratorio.;Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su música favorita mientras estudia.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
16;Masculino;12/08/1993;12/08/1993;Ingenieria de Sistemas;Ingenieria de sistemas;3.6;3;Si, propio.;No;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Algunas veces estudia solo otras veces con amigos.;Estudia todo el tema el día anterior del examen.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
17;Masculino;17/05/1977;17/05/1977;Estadística;Estadistica;3.8;2;No;Si, propio.;Si, prestado.;Si, propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;8
18;Masculino;25/11/2000;25/11/2000;Ingenieria de sistemas;Ingenieria de sistemas;3.5;3;No;Si, propio.;Si. familiar,;Si, propio.;NA;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su música favorita mientras estudia.;Estudia con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
19;Masculino;4/12/1998;4/12/1998;Ing. sistemas e informática;Ingenieria de sistemas;3.6;1;No;Si, propio.;Si, pero plan de datos de celular.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su música favorita mientras estudia.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;4
20;Femenino;16/06/1999;16/06/1999;Estadística;Estadistica;4.1;3;No;Si, propio.;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
21;Femenino;8/12/2020;;Estadística;Estadistica;3.4;2;No;Si, propio.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Madruga a estudiar.;Memoriza ejercicios.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;7
22;Femenino;22/02/2002;22/02/2002;Ingeniería de Sistemas;Ingenieria de sistemas;4.3;2;No;Si, propio.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capítulo del libro texto.;Estudia varios temas distintos en una misma sesión de estudio.;Algunas veces estudia solo otras veces con amigos.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;7
23;Masculino;15/05/1999;15/05/1999;Ingeniería de Sistemas;Ingenieria de sistemas;3.7;3;No;Si, propio.;Si, propio.;Si, propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;7
24;Masculino;11/08/1993;11/08/1993;Estadistica;Estadistica;3;2;No;Si, propio.;Si, alquilado.;Si, propio.;Fue fabricado en un laboratorio.;Si;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
25;Masculino;29/05/2000;29/05/2000;Estadística;Estadistica;4;1;No;Si, propio.;Si. familiar,;Si, propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su música favorita mientras estudia.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Trasnocha estudiando para un examen.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
26;Masculino;19/07/1982;19/07/1982;Ingeniería de Sistemas e Infor;Ingenieria de sistemas;3.2;3;Si, propio.;Si, propio.;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capítulo del libro texto.;Estudia solo.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;2
27;Masculino;6/03/2020;;Estadística;Estadistica;3;3;No;Si, pero prestado.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;7
28;Femenino;19/10/1996;19/10/1996;Ingeniería Física;Ingenieria Fisica;3.6;4;No;Si, propio.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Algunas veces estudia solo otras veces con amigos.;Madruga a estudiar.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
29;Masculino;4/07/2000;4/07/2000;Ingeniería de sistemas;Ingenieria de sistemas;3.8;2;No;Si, propio.;Si. familiar,;Si, propio.;NA;Si;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
30;Masculino;8/12/2020;;ing sistemas;Ingenieria de sistemas;3.7;2;Si, propio.;No;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;7
31;Masculino;6/12/2000;6/12/2000;estadística;Estadistica;NA;2;No;Si, propio.;Si. familiar,;Si, propio.;Fue fabricado en un laboratorio.;Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su música favorita mientras estudia.;Lee varias veces un mismo capítulo del libro texto.;Estudia con amigos.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;8
32;Masculino;/-/-/1994;;Ingeniería de Sistemas;Ingenieria de sistemas;4.1;3;No;Si, propio.;Si, pero plan de datos de celular.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
33;Masculino;29/01/2003;29/01/2003;Estadistica;Estadistica;3.6;3;Si, propio.;No;Si, propio.;Si, propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesión de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;8
