consecutivo;genero;fecha_nac;Fecha_depurada;carrera;Carrera_depurada;PAPA;estrato;computador_mesa;portatil;internet;smartphone;origen_covid_19;estad_gov;habito_1;habito_2;habito_3;habito_4;habito_5;habito_6;habito_7;habito_8;habito_9;habito_10;habito_11;habito_12;habito_13;habito_14;habito_15;habito_16;habito_17;aleatorio
99;Masculino;14/09/2002;14/09/2002;Estadistica;Estadistica;3.5;3;No;Si, propio.;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Estudia varios temas distintos en una misma sesión de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;4
100;Masculino;5/06/2003;5/06/2003;estadística;Estadistica;3.7;1;Si, propio.;No;Si. familiar,;Si, propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesión de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;7
101;Masculino;12/08/2020;;ESTADÍSTICA;Estadistica;4;3;No;Si, propio.;Si, prestado.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Estudia varios temas distintos en una misma sesión de estudio.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Madruga a estudiar.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;4
102;Masculino;2/12/2001;2/12/2001;Ingeniería Biológica;Ingenieria biol?gica;3.4;3;No;Si, propio.;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;2
103;Masculino;5/03/1998;5/03/1998;Ingenieria de sistemas;Ingenieria de sistemas;4.3;4;No;Si, propio.;Si, propio.;Si, propio.;NA;NA;Escucha su música favorita mientras estudia.;Estudia solo.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
104;Femenino;7/11/1995;7/11/1995;Estadistica;Estadistica;3.5;3;No;No;Si, propio.;Si, propio.;Es una conspiración.;No;Tomas notas transcribiendo los ejercicios en clase.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Estudia todo el tema el día anterior del examen.;Madruga a estudiar.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
105;Masculino;4/11/2000;4/11/2000;Ingeniería en sistemas;Ingenieria de sistemas;3.6;1;Si, propio.;Si, propio.;Si, propio.;Si, propio.;"Es una conspiración.
No es real, es un pretexto de los gobiernos del mundo.
Fue fabricado en un laboratorio.";No;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesión de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;8
106;Masculino;9/11/1996;9/11/1996;Ingeniería administrativa;Ingenieria administrativa;3.6;3;No;Si, propio.;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Estudia solo.;Trasnocha estudiando para un examen.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
107;Masculino;25/07/2001;25/07/2001;estadística;Estadistica;3.8;3;No;Si, propio.;Si, propio.;Si, alquilado.;Es una conspiración.;No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capítulo del libro texto.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;7
108;Masculino;14/05/1995;14/05/1995;ing de sistemas e informatica.;Ingenieria de sistemas;NA;NA;No;Si, propio.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su música favorita mientras estudia.;Estudia solo.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
109;Masculino;21/03/2003;21/03/2003;Estadística;Estadistica;3.5;1;No;Si, pero prestado.;Si. familiar,;Si, propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;7
110;Masculino;1/12/1999;1/12/1999;Estadística;Estadistica;3.1;2;No;Si, propio.;Si. familiar,;NA;Es una conspiración.;No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capítulo del libro texto.;Toma pausas cada cierto tiempo de estudio continuo.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
111;Masculino;25/03/2001;25/03/2001;Estadistica;Estadistica;NA;1;Si, propio.;No;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Estudia varios temas distintos en una misma sesión de estudio.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;8
112;Masculino;23/08/1987;23/08/1987;ingenieria de sistemas;Ingenieria de sistemas;3;2;Si, propio.;Si, propio.;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
113;Femenino;12/12/2002;12/12/2002;ESTADÍSTICA;Estadistica;3.3;1;No;Si, pero alquilado.;Si, prestado.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;5
114;Masculino;20\06\1994;20/06/1994;Ingenieria de sistemas e Infor;Ingenieria de sistemas;3.8;3;Si, propio.;Si, propio.;Si. familiar,;Si, propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";Si;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;10
115;Masculino;26/04/1999;26/01/1999;Ingeniería de sistemas;Ingenieria de sistemas;NA;2;Si, propio.;No;Si. familiar,;Si, propio.;"Es una conspiración.
Fue fabricado en un laboratorio.";No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su música favorita mientras estudia.;Lee varias veces un mismo capítulo del libro texto.;Estudia varios temas distintos en una misma sesión de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Trasnocha estudiando para un examen.;Memoriza ejercicios.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;6
116;Masculino;25/07/2001;25/07/2001;Estadística;Estadistica;3.9;2;No;Si, propio.;Si, propio.;Si, propio.;Fue fabricado en un laboratorio.;Si;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7
117;Masculino;23/09/1995;23/09/1995;Estadística;Estadistica;3.8;5;No;Si, propio.;Si, propio.;Si, propio.;No es real, es un pretexto de los gobiernos del mundo.;No;Estudia solo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5
118;Masculino;18/11/1999;18/11/1999;Ingeniería de Sistemas;Ingenieria de sistemas;3.5;2;Si,  pero prestado;Si, pero prestado.;Si, prestado.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;NA;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Estudia varios temas distintos en una misma sesión de estudio.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;5
119;Masculino;23/11/2001;23/11/2001;Estadistica;Estadistica;3.8;2;No;Si, propio.;Si. familiar,;Si, propio.;NA;NA;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su música favorita mientras estudia.;Estudia con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
120;Femenino;4/03/2003;4/03/2003;Estadística;Estadistica;3.6;3;No;Si, propio.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia solo.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;9
121;Masculino;20/05/1998;20/05/1998;Estadística;Estadistica;3.6;3;Si, propio.;Si, propio.;Si, propio.;Si, propio.;"Fue un resultado de pasar el virus de animales a los humanos.
Fue fabricado en un laboratorio.";No;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
122;Masculino;29/09/2000;29/09/2000;Estadística;Estadistica;3.8;3;No;Si, propio.;Si. familiar,;Si, prestado.;"Es una conspiración.
Fue fabricado en un laboratorio.";No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capítulo del libro texto.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;7
123;Femenino;13/08/2000;13/08/2000;Estadística;Estadistica;3.8;2;No;Si, pero prestado.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia varios temas distintos en una misma sesión de estudio.;Estudia con amigos.;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;2
124;Masculino;29/07/2001;29/07/2001;Ingeniería de Sistemas;Ingenieria de sistemas;3.7;4;No;Si, propio.;Si, propio.;Si, propio.;NA;NA;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capítulo del libro texto.;Estudia varios temas distintos en una misma sesión de estudio.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Memoriza ejercicios.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;5
125;Masculino;14/07/1994;;ESTADÍSTICA;Estadistica;4.3;1;No;Si, propio.;Si, alquilado.;Si, propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Lee varias veces un mismo capítulo del libro texto.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;7
126;Masculino;31/10/1999;31/10/1999;estadistica;Estadistica;3;1;No;Si, pero prestado.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Estudia solo.;Algunas veces estudia solo otras veces con amigos.;Toma pausas cada cierto tiempo de estudio continuo.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4
127;Femenino;4/07/2001;4/07/2001;Estadística;Estadistica;3.5;1;No;Si, propio.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;4
128;Masculino;8/03/2001;8/03/2001;estadística;Estadistica;NA;3;Si, propio.;Si, propio.;Si, propio.;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;No;Tomas notas transcribiendo los ejercicios en clase.;Selecciona un lugar fijo de estudio.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Los ejercicios los hace junto con los amigos de estudio.;Toma pausas cada cierto tiempo de estudio continuo.;Estudia todo el tema el día anterior del examen.;Trasnocha estudiando para un examen.;Madruga a estudiar.;Memoriza ejercicios.;NA;NA;NA;NA;NA;NA;NA;5
129;Femenino;6/02/2001;6/02/2001;Estadistica;Estadistica;3;3;No;Si, propio.;Si, propio.;Si, propio.;Fue fabricado en un laboratorio.;No;Tomas notas transcribiendo los ejercicios en clase.;Lee varias veces un mismo capítulo del libro texto.;Algunas veces estudia solo otras veces con amigos.;Usa los solucionarios para ver los ejercicios resueltos.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;Prefiere dar un vistazo a ejercicios resueltos de todos los posibles ejercicios.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
130;Masculino;12/12/1999;12/12/1999;Ingeniería de Sistemas e Infor;Ingenieria de sistemas;3.4;2;No;Si, pero prestado.;Si. familiar,;Si, propio.;Fue fabricado en un laboratorio.;No;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Escucha su música favorita mientras estudia.;Selecciona un lugar fijo de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Madruga a estudiar.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;8
131;Femenino;1/01/2003;1/01/2003;Estadística;Estadistica;4.2;2;No;Si, pero prestado.;Si, propio.;Si, propio.;NA;No;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Selecciona un lugar fijo de estudio.;Estudia solo.;Solo le pregunta a los amigos los ejercicios que no pudo resolver.;Toma pausas cada cierto tiempo de estudio continuo.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;Prefiere pocos ejercicios bien entendios a dar un vistazo a muchos ejercicios resueltos.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
132;Masculino;6/07/2002;6/07/2002;Estadística;Estadistica;4;2;No;Si, propio.;Si. familiar,;Si, propio.;Fue un resultado de pasar el virus de animales a los humanos.;Si;Tomas notas transcribiendo los ejercicios en clase.;Hace un horario de estudio y se ajusta estrictamente a ese horario.;Algunas veces estudia solo otras veces con amigos.;Usa los solucionarios para ver los ejercicios resueltos.;Resuelve usted mismo los ejercicios sin ver las respuestas anticipadamente.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6
